,Star_name,Constellation,Distance,Mass,Radius
314,WISE 1830+4542,Lyra,107,,
315,WISE 1841+7000,Draco,131.1,,
316,WISE 1852+3537,Lyra,55.4,,
317,WISE 1906+4508,Lyra,51.5,,
318,WISE 1928+2356,Vulpecula,22.8,,
319,WISE 1952+7240,Draco,44.4,,
320,WISE 1959-3338,Sagittarius,37.2,,
321,WISE 2030+0749,Delphinus,34.2,,
322,WISE 2014+0424,Aquila,96.2,,
323,WISE 2015+6646,Draco,50.6,,
324,WISE 2018-7423,Pavo,47.9,,
325,WISE 2019-1148,Capricornus,42.4,,
326,WISE 2056+1459,Delphinus,24.5,,
327,WISE 2134-7137,Indus,42.7,,
328,WISE 2157+2659,Pegasus,61.6,,
329,WISE 2209-2734,Piscis Austrinus,46,,
330,WISE 2213+0911,Pegasus,58.7,,
331,WISE 2220-3628,Grus,26.4,,
332,WISE 2226+0440,Pegasus,45,,
333,WISE 2237-0614,Aquarius,53.5,,
334,WISE 2237+7228,Cepheus,46,,
335,WISE 2239+1617,Pegasus,59.7,,
336,WISE 2255-3118,Piscis Austrinus,44.7,,
337,WISE 2301+0216,Pisces,60.7,,
338,WISE 2313-8037,Octans,35.9,,
339,WISE 2319-1844,Aquarius,52.2,,
340,WISE 2325-4105,Grus,37.5,,
341,WISE 2327-2730,Sculptor,70.8,,
342,WISE 2335+4222,Andromeda,90.3,,
343,WISE 2340-0745,Aquarius,37.8,,
344,WISE 2342+0856,Pegasus,51.2,,
345,WISE 2343-7418,Octans,48.6,,
346,WISE 2344+1034,Pegasus,46,,
347,WISE 2348-1028,Aquarius,54.1,,
348,WISE 2357+1227,Pegasus,54.8,,
349,WISE 2359-7335,Tucana,42.7,,
350,WISEA 1101+5400,Ursa Major,111,,
351,2M1510,Libra,120,,
